流水號,序號,期別,補筆路,
206,977,026A,2,
207,1030,026A,2,
208,1031,026A,2,
209,934,026A,2,
210,1004,026A,2,
211,1073,026A,2,
212,869,026A,2,
213,1026,026A,2,
214,966,026A,2,
215,321,026A,2,
216,717,026A,1,
217,937,026A,1,
218,939,026A,1,
219,1065,026A,1,
220,1071,026B,1,
221,1123,026B,1,
222,1256,026B,1,
223,1137,026B,1,
224,1155,026B,1,
225,1199,026B,1,
226,1242,026B,1,
227,1136,026B,1,
228,1010,026B,1,
229,1056,026B,1,
230,998,026B,1,
231,456,026B,1,
232,1220,026B,1,
233,1500,026B,1,
234,956,026B,2,
235,1250,026B,2,
236,1040,026B,2,
237,1171,026B,2,
238,1202,026B,2,
239,717,026B,1,
240,1192,026B,1,
241,1138,026B,2,
242,1148,026B,2,
244,1258,027A,1,
245,1354,027A,1,
246,1310,027A,1,
247,1332,027A,1,
248,1286,027A,1,
249,1235,027A,1,
250,1379,027A,1,
251,1363,027A,1,
252,818,027A,1,
253,572,027A,1,
254,1146,027A,1,
255,1205,027A,1,
256,1151,027A,1,
257,1334,027A,1,
258,1348,027A,1,
259,1344,027A,1,
261,1405,027A,1,
262,1313,027A,1,
263,1620,027A,1,
264,1619,027A,2,
265,1500,027A,2,
266,1337,027A,2,
267,1192,027A,2,
268,1185,027A,2,
269,1393,027A,2,
270,1300,027A,2,
271,1254,027A,2,
272,1305,027A,2,
273,1281,027A,2,
274,1307,027A,2,
275,956,027A,2,
276,1267,027A,1,
279,1493,027B,1,
280,1423,027B,1,
281,1495,027B,1,
282,1412,027B,1,
283,1462,027B,1,
284,914,027B,1,
285,572,027B,1,
286,1286,027B,2,
287,1427,027B,2,
288,1437,027B,2,
289,1332,027B,2,
290,1472,027B,2,
291,1474,027B,2,
292,1384,027B,2,
294,1480,027B,2,
295,1411,027B,2,
296,1389,027B,1,
297,914,028A,1,
298,1585,028A,1,
299,1603,028A,1,
300,1515,028A,1,
301,1566,028A,1,
302,1565,028A,1,
303,1443,028A,1,
304,1508,028A,1,
305,1550,028A,1,
306,572,028A,1,
307,1462,028A,1,
308,437,028A,1,
310,1412,028A,2,
311,1544,028A,2,
312,1571,028A,2,
313,1538,028A,2,
314,1517,028A,2,
315,1592,028A,2,
316,1549,028A,2,
317,1572,028A,2,
318,1424,028A,1,
319,1586,028A,1,
320,1601,028A,1,
321,1474,028A,2,
322,1682,028B,1,
323,1547,028B,1,
324,1511,028B,1,
325,1443,028B,1,
326,1661,028B,1,
327,1679,028B,1,
328,1627,028B,1,
329,1571,028B,2,
330,1623,028B,2,
331,1663,028B,2,
332,1625,028B,2,
333,1632,028B,2,
334,1883,028B,1,
335,1633,028B,1,
336,1508,028B,1,
337,1169,029A,1,
338,1706,029A,1,
339,1585,029A,1,
340,1775,029A,1,
341,1679,029A,1,
342,1691,029A,1,
343,1716,029A,2,
344,1686,029A,2,
345,1739,029A,2,
346,1705,029A,2,
347,1772,029A,2,
348,1700,029A,2,
349,1761,029A,2,
350,1747,029A,2,
351,1732,029A,2,
352,1874,029B,1,
353,1441,029B,1,
354,1691,029B,1,
355,1842,029B,1,
356,1834,029B,1,
357,1856,029B,1,
358,1845,029B,1,
359,1810,029B,1,
360,1800,029B,1,
361,1852,029B,1,
362,1876,029B,1,
363,1847,029B,1,
364,1811,029B,1,
365,1807,029B,1,
366,1836,029B,2,
367,1844,029B,2,
368,1877,029B,2,
369,1870,029B,2,
370,1815,029B,2,
371,1700,029B,2,
372,1508,029B,1,
373,1840,029B,1,
374,1169,029B,1,
375,1917,030A,1,
376,1353,030A,1,
378,798,030A,1,
379,1811,030A,1,
380,1847,030A,1,
381,1800,030A,1,
382,1856,030A,1,
383,1914,030A,1,
384,1900,030A,1,
385,1913,030A,1,
386,1901,030A,1,
387,1845,030A,2,
388,1890,030A,2,
389,1918,030A,2,
390,1895,030A,2,
391,1508,030A,1,
392,1933,030A,1,
393,1366,030B,1,
394,1288,030B,1,
395,1793,030B,1,
396,327,030B,1,
397,2009,030B,1,
398,1968,030B,1,
399,1955,030B,1,
400,1982,030B,1,
401,1990,030B,1,
402,1944,030B,1,
403,2001,030B,1,
404,1381,030B,1,
405,1367,030B,1,
406,1957,030B,1,
407,1215,030B,1,
408,1382,030B,1,
409,1264,030B,1,
410,1174,030B,1,
411,1695,030B,1,
412,2028,030B,1,
413,1945,030B,1,
414,1800,030B,1,
415,1939,030B,1,
416,1989,030B,1,
417,1974,030B,1,
418,1995,030B,1,
419,1952,030B,2,
420,1965,030B,2,
421,1964,030B,2,
422,1845,030B,2,
423,1192,030B,2,
424,2239,030B,1,
425,2010,030B,1,
426,1959,030B,1,
427,1195,030B,1,
429,2060,031A,1,
430,2073,031A,1,
431,2077,031A,1,
432,2035,031A,1,
433,1367,031A,1,
434,1321,031A,1,
435,328,031A,1,
436,2000,031A,1,
437,1508,031A,1,
438,2010,031A,2,
439,2028,031A,2,
440,2054,031A,2,
441,2037,031A,2,
442,2036,031A,2,
443,2041,031A,2,
444,2085,031A,2,
445,1695,031A,2,
446,2055,031A,2,
447,1800,031A,1,
448,1269,031A,1,
449,2035,031B,1,
450,2094,031B,1,
451,1199,031B,1,
452,2189,031B,1,
453,2102,031B,1,
454,1268,031B,1,
455,2130,031B,1,
456,2172,031B,1,
457,2158,031B,1,
458,2183,031B,1,
459,2206,031B,1,
460,2211,031B,1,
461,2162,031B,2,
462,2168,031B,2,
463,2125,031B,2,
464,2148,031B,2,
465,2202,031B,2,
466,2223,031B,2,
467,2194,031B,2,
468,2114,031B,2,
469,1508,032A,1,
470,2237,032A,1,
471,2265,032A,1,
472,2255,032A,1,
473,2102,032A,1,
474,2291,032A,1,
475,2244,032A,1,
476,2233,032A,1,
477,2256,032A,1,
478,2278,032A,2,
479,2284,032A,2,
480,2275,032A,2,
481,2285,032A,2,
482,2125,032A,2,
483,2202,032A,2,
484,2162,032A,2,
485,2238,032A,2,
486,2267,032A,2,
487,2250,032A,2,
488,2158,032A,2,
489,326,032A,1,
490,2305,032B,1,
491,2369,032B,1,
492,2405,032B,1,
493,2311,032B,1,
494,2361,032B,1,
495,2347,032B,1,
496,2365,032B,1,
497,2373,032B,1,
498,2323,032B,1,
499,2379,032B,1,
500,986,032B,1,
501,2364,032B,2,
502,2401,032B,2,
503,2351,032B,2,
504,2374,032B,2,
505,2172,032B,2,
506,1731,032B,1,
507,2349,032B,2,
508,2503,033A,1,
509,2405,033A,1,
510,2444,033A,1,
511,2476,033A,1,
512,2463,033A,1,
513,2418,033A,1,
514,2305,033A,1,
515,2538,033A,1,
516,2345,033A,1,
517,2412,033A,1,
518,2546,033A,1,
519,2520,033A,1,
520,2510,033A,1,
521,2220,033A,1,
522,2556,033A,1,
523,2453,033A,2,
524,2423,033A,2,
525,2523,033A,2,
526,2559,033A,2,
527,2512,033A,2,
528,2420,033A,2,
529,2414,033A,2,
530,2430,033A,2,
531,2505,033A,2,
532,2506,033A,2,
533,2448,033A,2,
534,2172,033A,2,
535,517,033A,1,
536,2447,033A,1,
537,2482,033A,1,
538,2458,033A,1,
539,2566,033A,1,
540,2234,033A,1,
541,2502,033A,1,
542,2486,033A,1,
543,2477,033A,1,
545,2543,033A,2,
546,1188,033B,1,
547,1462,033B,1,
548,2620,033B,1,
549,2596,033B,1,
550,2885,033B,1,
551,2608,033B,1,
552,2593,033B,1,
553,2607,033B,1,
554,2570,033B,1,
555,2583,033B,1,
556,2467,033B,1,
557,2646,033B,1,
558,2578,033B,1,
559,2645,033B,1,
560,2644,033B,1,
561,2621,033B,1,
568,1508,033B,2,
569,2556,033B,2,
570,2416,033B,2,
571,2624,033B,2,
572,1311,033B,2,
573,2633,033B,2,
574,2458,033B,1,
575,1104,034A,1,
576,1424,034A,1,
577,2765,034A,1,
578,2075,034A,1,
579,2722,034A,1,
580,2679,034A,1,
581,2658,034A,1,
582,2607,034A,1,
583,2570,034A,1,
584,2726,034A,1,
585,2657,034A,1,
586,2447,034A,1,
587,1599,034A,2,
588,2468,034A,2,
589,2624,034A,2,
590,2709,034A,2,
591,2712,034A,2,
592,2717,034A,2,
593,2685,034A,2,
594,2677,034A,2,
595,862,034A,1,
596,2608,034A,1,
597,2665,034B,1,
598,2882,034B,1,
599,2881,034B,1,
600,2806,034B,1,
601,2436,034B,1,
602,2868,034B,1,
603,1424,034B,1,
604,2864,034B,1,
605,2838,034B,1,
606,2832,034B,1,
607,1856,034B,2,
608,2793,034B,2,
609,2842,034B,2,
610,2821,034B,2,
611,2657,034B,2,
612,2850,034B,2,
613,2779,034B,2,
614,2075,034B,2,
615,2949,035A,1,
616,2981,035A,1,
617,2944,035A,1,
618,2936,035A,1,
619,2935,035A,1,
620,2892,035A,1,
621,2047,035A,1,
622,651,035A,1,
623,2937,035A,1,
624,2916,035A,1,
625,2978,035A,1,
626,2893,035A,1,
627,2961,035A,1,
628,2895,035A,1,
629,2976,035A,1,
630,2948,035A,1,
631,2806,035A,2,
632,2941,035A,2,
633,2891,035A,2,
634,2931,035A,2,
635,2905,035A,2,
636,3316,035A,1,
637,2977,035A,1,
638,1447,035B,1,
639,3127,035B,1,
640,2882,035B,1,
641,2772,035B,1,
642,3129,035B,1,
643,2978,035B,1,
644,2961,035B,1,
645,3124,035B,1,
646,3027,035B,1,
647,3035,035B,1,
648,3084,035B,1,
649,3064,035B,1,
650,3092,035B,1,
651,2125,035B,2,
652,627,035B,2,
653,2997,035B,2,
654,3069,035B,2,
655,3014,035B,2,
656,3045,035B,2,
657,2988,035B,2,
658,2993,035B,2,
659,3128,035B,2,
660,3047,035B,1,
661,3103,035B,1,
662,3010,035B,1,
663,3058,035B,1,
664,3031,035B,2,
665,1199,036A,1,
666,1206,036A,1,
667,3138,036A,1,
668,3141,036A,1,
669,3145,036A,1,
670,3084,036A,1,
671,3047,036A,1,
672,2772,036A,1,
673,3010,036A,1,
674,3175,036A,1,
675,3184,036A,1,
676,3027,036A,1,
677,3190,036A,2,
678,3167,036A,2,
679,3249,036A,2,
680,3209,036A,2,
681,3128,036A,2,
682,3144,036A,2,
683,3208,036A,2,
684,3247,036A,2,
685,3179,036A,2,
686,3202,036A,1,
687,3200,036A,1,
688,3197,036A,2,
689,3342,036B,1,
690,3318,036B,1,
691,3286,036B,1,
692,3464,036B,1,
693,3372,036B,1,
694,1462,036B,1,
695,3526,036B,1,
696,3269,036B,1,
697,3414,036B,1,
698,3317,036B,2,
699,3333,036B,2,
700,3358,036B,2,
701,3272,036B,2,
702,3375,036B,2,
703,3369,036B,2,
704,3128,036B,2,
705,3261,036B,2,
706,3301,036B,2,
707,3442,036B,2,
708,3225,036B,2,
709,3271,036B,1,
710,3037,036B,1,
711,3345,036B,1,
712,2520,036B,1,
713,3508,037A,1,
714,3463,037A,1,
715,3636,037A,1,
716,3457,037A,1,
717,3263,037A,1,
718,3525,037A,1,
719,3515,037A,1,
720,3440,037A,1,
721,3375,037A,2,
722,3547,037A,2,
723,3338,037A,2,
724,1462,037A,1,
725,3095,037A,2,
726,2822,037A,1,
727,3302,037B,1,
728,3629,037B,1,
729,3631,037B,1,
730,3643,037B,1,
731,3617,037B,1,
732,3099,037B,1,
733,3608,037B,1,
734,3718,037B,1,
735,3748,037B,1,
736,3698,037B,1,
737,3708,037B,1,
738,3650,037B,1,
739,3675,037B,1,
740,3677,037B,1,
741,3744,037B,1,
742,3692,037B,1,
743,3652,037B,1,
744,3609,037B,1,
745,3669,037B,1,
746,3722,037B,1,
747,3666,037B,1,
748,3670,037B,1,
749,3570,037B,1,
750,3549,037B,1,
751,3598,037B,2,
752,3558,037B,2,
753,3741,037B,2,
754,3723,037B,2,
755,3568,037B,2,
756,3525,037B,2,
757,3616,037B,2,
758,3640,038A,1,
759,3793,038A,1,
761,3839,038A,1,
762,3675,038A,1,
763,3549,038A,1,
764,3717,038A,1,
765,3629,038A,1,
766,3751,038A,1,
767,3823,038A,1,
768,3748,038A,1,
769,3650,038A,1,
770,3692,038A,1,
771,3768,038A,1,
772,3818,038A,1,
773,3754,038A,2,
774,3773,038A,2,
775,3807,038A,2,
776,3752,038A,2,
777,3828,038A,2,
778,3652,038A,2,
779,3631,038A,2,
780,1498,038B,1,
781,3850,038B,1,
782,3898,038B,1,
783,3858,038B,1,
784,3692,038B,1,
785,3894,038B,1,
786,3926,038B,1,
787,3936,038B,1,
788,3937,038B,1,
789,3650,038B,1,
790,3912,038B,2,
791,3896,038B,2,
792,3849,038B,2,
793,3857,038B,2,
794,3833,038B,1,
795,3883,038B,1,
796,3921,038B,1,
797,3818,038B,1,
798,3937,039A,1,
799,3650,039A,1,
800,3692,039A,1,
801,3926,039A,1,
802,3936,039A,1,
803,3953,039A,1,
804,3883,039A,1,
805,3858,039A,1,
806,3976,039A,2,
807,3998,039A,2,
808,4009,039A,2,
809,3434,039A,2,
810,3898,039A,2,
811,3951,039A,2,
812,3921,039A,2,
813,4006,039A,1,
814,3993,039B,1,
815,3692,039B,1,
816,3936,039B,1,
817,3937,039B,1,
818,4032,039B,1,
819,4010,039B,1,
820,4013,039B,2,
821,4051,039B,2,
822,4028,039B,1,
823,3923,039B,1,
824,3920,039B,2,
825,3926,039B,1,
826,3112,040A,1,
827,2179,040A,1,
828,3926,040A,1,
829,4128,040A,1,
830,4098,040A,1,
831,4122,040A,1,
832,4113,040A,1,
833,4143,040A,1,
834,3646,040A,2,
835,4123,040A,2,
836,4116,040A,2,
837,4010,040A,1,
838,3936,040A,1,
839,4240,040B,1,
840,4181,040B,1,
841,4182,040B,1,
842,3478,040B,1,
843,4010,040B,1,
844,4122,040B,1,
845,3936,040B,1,
846,4161,040B,1,
847,2172,040B,2,
848,4155,040B,2,
849,4183,040B,2,
850,4194,040B,2,
851,4193,040B,2,
852,4222,040B,2,
853,4234,040B,2,
854,3926,040B,1,
855,3887,040B,1,
856,3572,040B,1,
857,3592,040B,1,
858,3112,040B,1,
859,325,041A,1,
860,2577,041A,1,
861,3438,041A,1,
862,3648,041A,1,
863,3587,041A,1,
864,3586,041A,1,
865,4291,041A,1,
866,4271,041A,1,
867,3936,041A,1,
868,4293,041A,1,
869,4270,041A,1,
870,4249,041A,2,
871,4240,041A,2,
872,4308,041A,2,
873,4278,041A,2,
874,4258,041A,2,
875,3614,041A,1,
876,4213,041A,1,
877,3714,041A,1,
878,3731,041A,1,
879,3689,041A,1,
880,3683,041A,1,
882,3936,041B,1,
883,4325,041B,1,
884,2857,041B,1,
886,3738,041B,1,
887,3682,041B,1,
888,4270,041B,2,
889,4358,041B,2,
890,4330,041B,2,
891,4293,041B,2,
892,4337,041B,2,
893,4336,041B,2,
894,4324,041B,2,
895,4362,041B,2,
896,4348,041B,2,
897,4051,041B,2,
899,4010,041B,1,
900,2172,041B,2,
901,2185,042A,1,
902,3740,042A,1,
904,4425,042A,1,
905,4369,042A,1,
906,4306,042A,1,
907,4443,042A,1,
908,4348,042A,2,
909,4428,042A,2,
910,4409,042A,2,
911,4391,042A,2,
912,4412,042A,2,
913,4390,042A,2,
914,4375,042A,1,
915,4429,042A,1,
916,3112,042A,2,
917,4267,042A,2,
918,4495,042B,1,
919,4482,042B,1,
920,3027,042B,1,
921,4451,042B,1,
922,4574,042B,1,
923,4550,042B,1,
924,4511,042B,1,
925,4522,042B,1,
926,4551,042B,1,
927,4475,042B,1,
928,4539,042B,2,
929,4456,042B,2,
930,4560,042B,2,
931,4478,042B,2,
932,4530,042B,2,
933,4516,042B,2,
934,4531,042B,2,
935,4535,042B,2,
936,4481,042B,2,
937,4500,042B,2,
938,4544,042B,2,
939,4513,042B,2,
940,4429,042B,2,
941,4640,043A,1,
942,4642,043A,1,
943,4699,043A,1,
944,4612,043A,1,
945,4622,043A,1,
946,4707,043A,1,
947,4696,043A,1,
948,4634,043A,1,
949,4684,043A,1,
950,4715,043A,1,
951,4666,043A,1,
952,4511,043A,1,
953,4513,043A,2,
954,4499,043A,2,
955,4613,043A,2,
956,4624,043A,2,
957,4665,043A,2,
958,4674,043A,2,
959,4429,043A,2,
960,4629,043A,2,
961,4601,043A,2,
962,4713,043A,2,
963,4551,043A,2,
964,4703,043A,2,
965,4654,043A,2,
966,4531,043A,2,
967,4709,043A,2,
968,4751,043A,1,
969,4580,043A,1,
970,4620,043A,2,
971,4759,043B,1,
972,4828,043B,1,
973,4781,043B,1,
974,4782,043B,1,
975,4728,043B,1,
976,4809,043B,1,
977,4699,043B,1,
978,4707,043B,1,
979,4511,043B,1,
980,4787,043B,2,
981,4750,043B,2,
982,4737,043B,2,
983,4810,043B,2,
984,4709,043B,2,
985,4696,043B,2,
986,4640,043B,2,
987,2724,043B,2,
988,4799,043B,1,
989,4164,043B,1,
990,4872,044A,1,
991,4345,044A,1,
992,4334,044A,1,
993,4882,044A,1,
994,4866,044A,1,
995,4876,044A,1,
996,4919,044A,1,
997,4707,044A,1,
998,4915,044A,1,
999,4939,044A,1,
1000,4896,044A,1,
1001,4965,044A,2,
1002,4917,044A,2,
1003,4942,044A,2,
1004,4728,044A,2,
1005,4916,044A,1,
1006,4838,044A,1,
1007,4811,044A,2,
1008,4985,044B,1,
1009,5046,044B,1,
1010,5076,044B,1,
1011,5065,044B,1,
1012,4997,044B,1,
1013,4990,044B,1,
1014,4974,044B,1,
1015,5068,044B,1,
1016,4956,044B,2,
1017,5056,044B,2,
1018,4983,044B,2,
1019,5063,044B,2,
1020,5009,044B,2,
1021,5084,044B,1,
1022,5018,044B,1,
1023,5132,045A,1,
1024,5163,045A,1,
1025,4939,045A,1,
1026,5201,045A,1,
1027,5161,045A,1,
1028,277,045A,1,
1029,5128,045A,1,
1030,5144,045A,1,
1031,5107,045A,1,
1032,5148,045A,1,
1033,5117,045A,1,
1034,5190,045A,1,
1035,5196,045A,2,
1036,5108,045A,2,
1037,5134,045A,2,
1038,5169,045A,2,
1039,5164,045A,2,
1040,5101,045A,2,
1041,5170,045A,1,
1042,5184,045A,1,
1043,4990,045A,1,
1044,5076,045A,1,
1045,4429,045A,2,
1046,5135,045B,1,
1047,5183,045B,1,
1048,5360,045B,1,
1049,5303,045B,1,
1050,5293,045B,1,
1051,5190,045B,1,
1052,5271,045B,1,
1053,5354,045B,1,
1054,5318,045B,1,
1055,5224,045B,1,
1056,5215,045B,1,
1057,5275,045B,1,
1058,5267,045B,1,
1059,277,045B,1,
1060,5252,045B,1,
1061,4870,045B,2,
1062,5108,045B,2,
1063,5220,045B,2,
1064,5284,045B,2,
1065,5201,045B,1,
1066,5144,045B,1,
1067,5243,045B,1,
1068,5184,045B,1,
1069,5511,046A,1,
1070,5333,046A,1,
1071,3566,046A,1,
1072,5369,046A,1,
1073,5271,046A,1,
1074,5491,046A,1,
1075,5498,046A,1,
1076,5434,046A,1,
1077,5466,046A,1,
1078,5476,046A,1,
1079,5502,046A,1,
1080,5522,046A,1,
1081,5366,046A,2,
1082,5404,046A,2,
1083,5469,046A,2,
1084,5443,046A,2,
1085,5458,046A,2,
1086,5490,046A,2,
1087,5108,046A,2,
1088,5243,046A,2,
1089,5201,046A,2,
1090,5267,046A,1,
1091,5477,046A,1,
1092,5215,046A,1,
1093,5442,046A,1,
1094,5411,046A,1,
1095,5144,046A,1,
1096,4307,046A,1,
1097,5497,046A,1,
1099,5184,046A,1,
1100,5596,046B,1,
1101,3466,046B,1,
1102,5379,046B,1,
1103,5293,046B,1,
1104,5271,046B,1,
1105,5466,046B,1,
1106,5559,046B,1,
1107,5577,046B,1,
1108,5627,046B,1,
1109,5685,046B,1,
1110,5698,046B,1,
1111,5267,046B,1,
1112,5633,046B,1,
1113,5686,046B,1,
1114,5671,046B,1,
1115,5578,046B,1,
1116,5608,046B,1,
1117,5694,046B,1,
1118,5480,046B,2,
1119,5490,046B,2,
1120,5557,046B,2,
1121,5614,046B,2,
1122,5598,046B,2,
1123,5668,046B,2,
1124,5541,046B,2,
1125,5669,046B,2,
1126,5522,046B,2,
1127,5443,046B,2,
1128,5611,046B,2,
1129,5595,046B,2,
1130,5163,046B,1,
1131,5901,047A,1,
1132,5563,047A,1,
1133,5267,047A,1,
1134,5773,047A,1,
1135,5661,047A,1,
1136,5632,047A,1,
1137,5862,047A,1,
1138,5559,047A,1,
1139,5930,047A,1,
1140,5761,047A,2,
1141,5622,047A,2,
1142,5728,047A,2,
1143,5911,047A,2,
1144,5961,047A,2,
1145,5443,047A,2,
1146,5942,047A,2,
1147,5746,047A,2,
1148,5760,047A,2,
1149,5611,047A,2,
1150,5864,047A,2,
1151,5766,047A,2,
1152,5934,047A,2,
1153,3660,047A,2,
1154,2510,047A,1,
1155,5710,047A,1,
1156,5694,047A,2,
1157,5900,047A,2,
1158,5163,047A,2,
1159,5685,047A,2,
1160,5803,047B,1,
1161,5849,047B,1,
1162,5810,047B,1,
1163,5661,047B,1,
1164,5771,047B,1,
1165,6095,047B,1,
1166,5885,047B,1,
1167,5795,047B,1,
1168,5794,047B,1,
1169,6093,047B,1,
1170,6094,047B,1,
1171,5827,047B,1,
1172,6107,047B,1,
1173,5993,047B,1,
1174,5563,047B,2,
1175,6053,047B,2,
1176,5874,047B,2,
1177,5772,047B,2,
1178,5873,047B,2,
1179,5868,047B,2,
1180,5806,047B,2,
1181,5860,047B,2,
1182,5727,047B,1,
1183,5293,047B,1,
1184,5872,047B,1,
1185,5828,047B,1,
1186,5919,047B,2,
1187,6022,048A,1,
1188,6052,048A,1,
1189,6026,048A,1,
1190,5771,048A,1,
1191,5977,048A,1,
1192,6171,048A,1,
1193,6019,048A,1,
1194,5964,048A,1,
1195,5967,048A,1,
1196,6232,048A,1,
1197,6133,048A,1,
1198,5985,048A,1,
1199,6001,048A,1,
1200,5642,048A,2,
1201,6000,048A,2,
1202,5994,048A,2,
1203,6149,048A,2,
1204,6007,048A,2,
1205,5828,048A,2,
1206,6036,048A,2,
1207,6049,048A,2,
1208,5872,048A,2,
1209,4878,048B,1,
1210,6169,048B,1,
1211,6264,048B,1,
1212,6249,048B,1,
1213,6263,048B,1,
1214,6187,048B,1,
1215,6272,048B,1,
1216,6128,048B,1,
1217,6288,048B,1,
1218,6177,048B,1,
1219,6124,048B,1,
1220,6341,048B,1,
1221,6313,048B,1,
1222,6176,048B,1,
1223,4809,048B,2,
1224,6099,048B,2,
1225,6267,048B,2,
1226,6132,048B,2,
1227,6302,048B,2,
1228,6247,048B,2,
1229,6233,048B,2,
1230,6242,048B,2,
1231,6252,048B,2,
1232,6256,048B,2,
1233,6316,048B,2,
1234,6115,048B,2,
1235,6049,048B,2,
1236,6248,048B,2,
1237,6269,048B,2,
1238,6260,048B,2,
1239,6171,048B,1,
1240,6357,049A,1,
1241,5271,049A,1,
1242,6253,049A,1,
1243,6335,049A,1,
1244,6371,049A,1,
1245,6370,049A,1,
1246,6358,049A,1,
1247,6124,049A,1,
1248,6388,049A,1,
1249,6402,049A,1,
1250,6417,049A,1,
1251,6272,049A,2,
1252,6420,049A,2,
1253,6169,049A,2,
1254,6310,049A,2,
1255,6437,049A,2,
1256,6260,049A,2,
1257,6385,049A,2,
1258,6349,049A,2,
1259,4622,049A,1,
1260,6492,049B,1,
1261,6494,049B,1,
1262,6503,049B,1,
1263,6504,049B,1,
1264,6335,049B,1,
1265,6493,049B,1,
1266,6484,049B,1,
1267,6402,049B,1,
1268,6512,049B,1,
1269,6490,049B,1,
1270,6169,049B,2,
1271,6371,049B,2,
1272,6491,049B,1,
1273,5619,050A,1,
1274,6540,050A,1,
1275,6532,050A,1,
1276,6492,050A,1,
1277,6494,050A,1,
1278,6512,050A,1,
1279,6591,050A,1,
1280,6491,050A,2,
1281,6402,050A,2,
1282,6573,050A,2,
1283,6563,050A,2,
1284,6527,050A,2,
1285,6566,050A,2,
1286,6493,050A,1,
1287,6553,050A,1,
1288,6361,050A,1,
1289,6578,050A,1,
